index,sex,years,children,smoke,countryFrom,countryNow,abroad,countryAbroad,degree,bachelorArea,bachelorEnjoy,bachelorWork,bachelorWorkEnjoy,hobbyOften,hobbyEnjoy,hobbyTime,hOutdoors,hSports,hStayHome,hVideogames,hJustMe,hWithFriends,hMall,hPet,hStudy,hParty,hNetflix,hFamily
117,Male,23,No,No,Mexico,Mexico,No,,3,Computer Science and IT,10,Yes,10,3 week,8,Need more,0,1,1,0,0,1,0,0,0,0,0,0
118,Fem,50,Yes,No,Mexico,Mexico,No,Mexico,1,,,,,2 week,10,Enough,0,0,0,0,0,0,0,0,0,1,0,0
119,Fem,54,Yes,Yes,Mexico,Mexico,No,,2,,,,,2 week,10,Need more,0,1,1,0,0,0,1,0,0,0,0,0
120,Male,26,No,No,Mexico,Mexico,No,,2,,,,,2 week,6,Enough,0,0,0,0,0,1,0,0,0,1,0,0
121,Male,25,Yes,Not now,Mexico,Mexico,No,,2,,,,,2 week,8,Enough,1,0,0,0,0,1,0,0,0,1,0,0
122,Fem,42,Yes,No,Mexico,Mexico,No,,2,,,,,3 week,9,Enough,0,0,1,0,0,0,1,0,0,1,0,0
123,Fem,21,No,Not now,Mexico,Mexico,No,,3,Engineering and Technology,7,Yes,7,2 week,9,Need more,0,1,1,0,0,1,0,0,0,0,0,0
124,Fem,12,No,No,Mexico,Mexico,No,,1,,,,,3 week,9,Need more,0,1,0,1,0,1,0,0,0,0,0,0
125,Male,22,No,Yes,Mexico,Mexico,No,,2,,,,,3 week,10,Enough,0,0,1,1,1,0,0,0,0,0,0,0
126,Fem,23,No,No,TheNetherlands,TheNetherlands,Yes,Sweden,4,Natural Sciences and Mathematics,9,Yes,8,3 week,9,Enough,0,0,0,1,0,1,0,0,0,0,0,0
127,Fem,47,Yes,No,Mexico,Mexico,No,,3,Medicine and Health,10,Yes,10,3 week,10,Enough,0,0,1,0,1,0,0,1,0,0,0,0
